LncRNA ID	Logfold	URWScore	pvalue	FDR	Rank(Logfold)	Rank(URWScore)
ENSG00000259594	4.30877555291328	0.397201436690366	0.055609756097561	0.17720207253886	249	192
ENSG00000253618	-3.73373223000597	0.396796258442881	0.055609756097561	0.17720207253886	309	193
ENSG00000225886	4.05661105252785	0.396560557335444	0.056260162601626	0.177435897435897	272	194
ENSG00000228741	5.58728440410723	0.396536195608436	0.056260162601626	0.177435897435897	159	195
ENSG00000258689	-4.35277484394308	0.395749191020023	0.0575609756097561	0.180612244897959	247	196
ENSG00000229425	4.88784649665589	0.395412868055655	0.0578861788617886	0.180710659898477	200	197
ENSG00000261265	-4.11959603565218	0.393798155503185	0.0591869918699187	0.183838383838384	266	198
ENSG00000215866	4.01778792631701	0.39365062317882	0.0598373983739837	0.184924623115578	275	199
ENSG00000241912	5.04396041095974	0.392886433160685	0.0621138211382114	0.190338164251208	189	200
ENSG00000236700	4.58949915920328	0.392386142006091	0.0627642276422764	0.190338164251208	224	201
ENSG00000261327	4.51903121256398	0.392023647414706	0.0630894308943089	0.190338164251208	230	202
ENSG00000231324	-4.83639050361752	0.391114438938261	0.0634146341463415	0.190338164251208	203	203
ENSG00000224271	5.34496893982863	0.39086305363148	0.063739837398374	0.190338164251208	178	204
ENSG00000240990	5.48465845995387	0.390744775960894	0.063739837398374	0.190338164251208	165	205
ENSG00000237009	4.67272645500856	0.390658391871566	0.0640650406504065	0.190338164251208	219	206
ENSG00000231774	7.91579204312514	0.390494930130911	0.0640650406504065	0.190338164251208	91	207
ENSG00000237587	-3.95114479929241	0.38976596576214	0.0660162601626016	0.195192307692308	283	208
ENSG00000255666	6.21344018374619	0.388667890517443	0.0666666666666667	0.196172248803828	133	209
ENSG00000235097	-4.25510451606368	0.388620335778871	0.0669918699186992	0.196190476190476	253	210
ENSG00000255509	8.27350363240004	0.387513118348256	0.0695934959349594	0.20188679245283	87	211
ENSG00000226510	-4.82430619499817	0.387484498123683	0.0695934959349594	0.20188679245283	204	212
ENSG00000259185	-2.15755265815414	0.386193645410643	0.0712195121951219	0.205479452054795	475	213
ENSG00000250073	-3.82283672692132	0.385921128778531	0.071869918699187	0.205479452054795	298	214
ENSG00000229967	8.4468332142179	0.385439792885894	0.0728455284552846	0.205479452054795	86	215
ENSG00000234362	4.6316788046575	0.385382475030555	0.0728455284552846	0.205479452054795	221	216
ENSG00000249378	4.0074280290415	0.385157338286909	0.0728455284552846	0.205479452054795	279	217
ENSG00000256751	-2.54903502191099	0.384770878129056	0.0731707317073171	0.205479452054795	426	218
ENSG00000249180	-2.14700771198515	0.384501861041931	0.0731707317073171	0.205479452054795	476	219
